stopdate,stoptime,streetnbr,streetdir,street,Min,sex,race,ethnic,Year of birth,enfaction,rpmainid
 01/11/2018,45,1350,,COLLEGE AVE,5,M,W,N,1973,N,3024
 01/11/2018,30,1350,,COLLEGE AVE,10,M,B,N,1989,Y,3025
 01/10/2018,2300,1480,,CANYON BLVD,5,M,W,N,1965,N,3026
 01/10/2018,2230,2100,,CANYON BLVD,4,M,W,N,1986,N,3027
 01/10/2018,2220,,,30TH ST/PEARL PKWY,9,M,W,N,1965,N,3028
 01/10/2018,2338,,,9TH ST/CANYON BLVD,9,F,W,N,1993,Y,3029
 01/11/2018,407,1899,,38TH ST/WALNUT ST,6,M,W,N,1964,Y,3030
 01/11/2018,427,2765,,55TH ST/PEARL PKWY,30,F,W,N,1974,N,3031
 01/11/2018,238,,,200-BLK HWY 157,28,F,W,N,1967,N,3032
 01/11/2018,835,4298,,BASELINE RD/INCA PKWY,10,F,W,N,1980,Y,3033
 01/11/2018,840,1601,,38TH ST/ARAPAHOE AVE,10,M,W,H,1984,N,3036
 01/11/2018,1045,4698,,BASELINE RD/MOHAWK DR,10,M,W,N,1998,N,3037
 01/11/2018,745,999,,30TH ST/E EUCLID AVE,10,M,W,N,1961,Y,3038
 01/11/2018,831,2699,,TABLE MESA DR/TABLE MESA CT,10,F,W,N,1972,Y,3039
 01/11/2018,1050,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,F,W,N,1981,N,3040
 01/11/2018,1210,1206,,17TH ST/HILLSIDE RD,10,F,W,N,1996,Y,3041
 01/11/2018,1115,4698,,BASELINE RD/MOHAWK DR,30,F,W,H,2001,Y,3042
 01/11/2018,1231,1200,,17TH ST/UNIVERSITY AVE,15,M,W,N,1997,Y,3043
 01/11/2018,1123,1499,,BASELINE RD/15TH ST,10,F,W,N,1971,Y,3044
 01/11/2018,1102,,,BASELINE RD/BROADWAY,10,F,W,N,1997,Y,3045
 01/11/2018,1052,699,,15TH ST/BASELINE RD,10,M,W,N,1996,Y,3046
 01/11/2018,1006,,,DIAGONAL HWY/FOOTHILLS SB ON RP @ DIAGONAL,10,F,W,N,1955,N,3047
 01/11/2018,1345,1899,,28TH ST/WALNUT ST,20,M,W,N,1991,Y,3048
 01/11/2018,927,,,EB HEY 36 MP38.1,9,M,W,N,1968,N,3049
 01/11/2018,1003,,,EB HWY 36 MP38.6,11,M,W,N,1985,N,3050
 01/11/2018,1023,,,FOOTHILLS PKWY/COLORADO AVE,7,M,W,N,1991,N,3051
 01/11/2018,1323,,,HWY 36/YARMOUTH AVE,10,F,W,N,1974,N,3052
 01/11/2018,1340,1587,,YARMOUTH AVE/16TH ST,10,M,W,N,1969,Y,3053
 01/10/2018,2330,3000,,WALNUT ST,10,F,W,N,1986,Y,3054
 01/11/2018,2245,700,,DELLWOOD AVE,15,M,W,N,1996,N,3055
 01/11/2018,2300,900,,PINE ST,5,,,,0,,3056
 01/11/2018,2021,2800,,PALO PKWY,4,F,W,H,1993,N,3057
 01/12/2018,6,1740,,14TH ST,10,M,W,N,1959,N,3058
 01/11/2018,2045,1905,,29TH ST/WALNUT ST,10,M,W,N,1994,N,3059
 01/11/2018,2100,,,13TH ST/CANYON BLVD,5,M,W,N,1952,N,3060
 01/12/2018,30,3299,,BROADWAY/HAWTHORN AVE,5,F,W,N,1986,N,3061
 01/12/2018,100,1699,,28TH ST/CANYON BLVD,5,M,W,N,1955,Y,3062
 01/11/2018,2315,1401,,WALNUT ST,6,M,W,N,1985,N,3063
 01/11/2018,2220,1199,,30TH ST/COLORADO AVE,5,F,W,N,1994,Y,3064
 01/11/2018,2350,,,34TH ST/DIAGONAL HWY,0,M,W,N,1971,N,3065
 01/12/2018,9,,,13TH ST/CANYON BLVD,5,F,W,N,1971,N,3066
 01/12/2018,930,,,FOOTHILLS PKWY/FOOTHILLS NB ON RP @ PEARL,10,M,W,N,1996,Y,3067
 01/12/2018,955,,,FOOTHILLS PKWY/COLORADO AVE,10,F,W,N,1985,Y,3068
 01/12/2018,1015,1560,,30TH ST/MARINE ST,7,M,W,N,1991,Y,3069
 01/12/2018,837,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1980,N,3070
 01/12/2018,1826,1898,,28TH ST/WALNUT ST,5,M,W,N,1959,,3071
 01/12/2018,1900,33,,ARAPAHOE,25,M,B,N,1981,N,3072
 01/12/2018,1923,1899,,28TH ST/WALNUT ST,5,F,W,N,1964,Y,3073
 01/12/2018,2306,1505,,30TH ST,20,M,W,N,1999,Y,3074
 01/12/2018,2243,3050,,E EUCLID AVE,20,M,W,N,1970,N,3075
 01/12/2018,30,1700,,13TH ST/ARAPAHOE AVE,5,M,W,N,1975,Y,3076
 01/12/2018,144,4399,,13TH ST/VIOLET AVE,5,F,W,H,1987,Y,3077
 01/12/2018,245,2599,,BROADWAY/NORTH ST,10,M,W,N,1990,Y,3078
 01/13/2018,349,1500,,PEARL ST,10,M,W,N,1986,N,3079
 01/13/2018,349,1500,,PEARL ST,10,F,W,N,1960,,3080
 01/13/2018,349,1500,,PEARL ST,10,F,W,N,1990,N,3081
 01/13/2018,333,1500,,PEARL ST,15,M,B,N,1970,N,3082
 01/12/2018,2250,2349,,BROADWAY/MAXWELL AVE,10,M,W,N,1960,Y,3083
 01/11/2018,2318,2900,,IRIS AVE,10,M,W,N,1969,N,3084
 01/11/2018,2352,4700,,28TH ST,10,F,W,N,1989,Y,3085
 01/12/2018,51,1500,,PEARL ST,15,M,W,N,1970,N,3086
 01/12/2018,107,1701,,PEARL ST,10,F,W,N,1962,Y,3087
 01/12/2018,51,1500,,PEARL ST,15,M,B,N,1970,N,3088
 01/12/2018,120,2970,,19TH ST,5,M,W,N,1987,Y,3089
 01/12/2018,159,2525,,ARAPAHOE AVE,10,M,A,N,1958,N,3090
 01/12/2018,217,2760,,CANYON BLVD,10,M,W,N,1975,Y,3091
 01/12/2018,2208,949,,PENNSYLVANIA AVE/LINCOLN PL,9,F,W,N,1995,Y,3092
 01/12/2018,2235,1050,,16TH ST/BROADWAY,9,F,W,N,1994,Y,3093
 01/14/2018,205,1500,,WALNUT ST,5,M,W,N,1990,Y,3094
 01/13/2018,2230,1236,,CANYON BLVD,30,M,W,N,1982,N,3095
 01/13/2018,2230,1236,,CANYON BLVD,30,F,W,N,2001,Y,3096
 01/13/2018,2230,1236,,CANYON BLVD,15,F,B,N,2001,,3097
 01/14/2018,230,1500,,PEARL ST,15,F,W,N,1986,N,3098
 01/14/2018,230,1500,,PEARL ST,15,F,W,N,1987,N,3099
 01/13/2018,2230,2200,,BROADWAY,10,M,W,N,1994,Y,3100
 01/13/2018,2300,1800,,BROADWAY,10,F,W,N,1995,Y,3101
 01/13/2018,2215,2800,,OLSON DR,5,F,W,N,1971,Y,3102
 01/14/2018,230,2000,,PEARL ST,10,M,W,N,1996,N,3103
 01/14/2018,1207,1650,,30TH ST,22,M,W,H,2001,Y,3104
 01/14/2018,1345,2800,,COLORADO AVE,10,F,W,H,1992,N,3105
 01/14/2018,1410,,,UNIVERSITY HEIGHTS/COLORADO AVE,10,M,W,N,1971,N,3106
 01/14/2018,1444,200,,FOOTHILLS PKWY,5,F,W,N,1989,Y,3107
 01/14/2018,1500,400,,FOOTHILLS PKWY,4,M,W,N,1998,N,3108
 01/14/2018,1510,5399,,MANHATTAN CIR/SOUTH BOULDER RD,5,M,W,N,1991,N,3109
 01/14/2018,1524,,,38TH ST/ARAPAHOE AVE,2,M,W,N,1995,Y,3110
 01/14/2018,1708,,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1996,N,3111
 01/14/2018,1908,1899,,26TH ST/WALNUT ST,10,M,W,N,1967,Y,3112
 01/14/2018,2230,,,28TH ST/ARAPAHOE AVE,10,F,W,N,1995,N,3113
 01/15/2018,1,1200,,CANYON BLVD,10,F,A,,1981,N,3114
 01/15/2018,15,2500,,CANYON BLVD,10,M,W,N,1974,Y,3115
 01/14/2018,2300,2100,,15TH ST,10,F,W,N,1991,Y,3116
 01/14/2018,2309,1800,,PEARL ST,65,F,W,N,2000,N,3117
 01/15/2018,213,949,,18TH ST/BROADWAY,6,F,W,N,1994,N,3118
 01/12/2018,516,2801,,IRIS AVE,7,F,W,N,1997,Y,3119
 01/15/2018,2356,1900,,BROADWAY,20,M,W,N,1990,Y,3120
 01/15/2018,2340,,,REGENT DR/COLORADO AVE,25,M,W,N,1997,Y,3121
 01/16/2018,132,1700,,29TH ST,5,M,W,H,1996,N,3122
 01/16/2018,1144,2000,,BROADWAY,22,M,W,N,1987,N,3123
 01/16/2018,1443,,,FOOTHILLS PKWY/PEARL PKWY,15,F,W,N,1965,N,3124
 01/07/2018,1130,5190,,SOUTH BOULDER RD,0,F,W,N,1960,Y,3125
 01/09/2018,900,1899,,28TH ST/WALNUT ST,15,M,W,N,1968,Y,3126
 01/16/2018,1757,,,33RD ST/ARAPAHOE AVE,10,M,W,N,1994,N,3127
 01/16/2018,2023,1500,,PEARL ST,10,F,W,N,1980,N,3128
 01/16/2018,2339,777,,BROADWAY,15,F,W,N,1991,N,3129
 01/17/2018,236,2460,,BASELINE RD,16,M,W,N,1958,N,3130
